json_obj,Post,threads
"{'author': {}, 'comments': ['Debating against you my senior year and judging you last year was always amazing. I can’t think of anything more to say than everything I’ve said on FaceTimes and DMs. You and Mitch exude compassion and are such great people. I believe the mark you’ve made on the NPDA community is one that is necessary and to be commended. idk what else to say other than I’m so proud of you!', 'I’ve always been amazed by your skill and tenacity— I can’t think of anyone who deserves this more. Congratulations!!', 'Oh my god, I hate myself obviously thank you to Esther Raine Ivy and Mary Talamantez from L&C for not only being awesome people but also for making the final round what it was. We both walked into the room knowing we were gonna say our piece no matter …See More', 'incredibly proud and not the least bit surprised. you keep go gettin yours!'], 'id': '82236f7ac481c050f138226396781073', 'post': ['Have tried and failed multiple times to make this post just right, but as I’ve discovered it’s kind of useless to try and be perfect all the time. So here goes: I could not have asked for a better end to an almost 9-year debate career. I had so many expectations for myself and every single failure was a major hit to my self-confidence. I unfortunately have a huge problem with giving the universe far too much credit, and convincing myself that even if I work as hard as possibl...Continue Reading']}","Have tried and failed multiple times to make this post just right, but as I’ve discovered it’s kind of useless to try and be perfect all the time. So here goes: I could not have asked for a better end to an almost 9-year debate career. I had so many expectations for myself and every single failure was a major hit to my self-confidence. I unfortunately have a huge problem with giving the universe far too much credit, and convincing myself that even if I work as hard as possibl...Continue Reading","Debating against you my senior year and judging you last year was always amazing. I can’t think of anything more to say than everything I’ve said on FaceTimes and DMs. You and Mitch exude compassion and are such great people. I believe the mark you’ve made on the NPDA community is one that is necessary and to be commended. idk what else to say other than I’m so proud of you! I’ve always been amazed by your skill and tenacity— I can’t think of anyone who deserves this more. Congratulations!! Oh my god, I hate myself obviously thank you to Esther Raine Ivy and Mary Talamantez from L&C for not only being awesome people but also for making the final round what it was. We both walked into the room knowing we were gonna say our piece no matter …See More incredibly proud and not the least bit surprised. you keep go gettin yours!"
"{'author': {}, 'comments': ['My granddaughter is touring the Northwest , they are at Mt BAker now'], 'id': '6af864db4dfb7c58514af02d3ef2b4d6', 'post': ['Finally had the opportunity with Brenner to hike and explore the North Cascades National Park and Diablo Lake/Dam']}",Finally had the opportunity with Brenner to hike and explore the North Cascades National Park and Diablo Lake/Dam,"My granddaughter is touring the Northwest , they are at Mt BAker now"
"{'author': {}, 'comments': ['I think you like the Northwest!!'], 'id': 'a46195d7f465e61232da9bebddb845ad', 'post': ['A visit to Brenner & the Western Washington University campus in Bellingham, Washington, walking the Bellingham Boardwalk across the Sound and dining at local establishments Cafe Rumba, AB Crepes & Shirlee Bird Cafe.']}","A visit to Brenner & the Western Washington University campus in Bellingham, Washington, walking the Bellingham Boardwalk across the Sound and dining at local establishments Cafe Rumba, AB Crepes & Shirlee Bird Cafe.",I think you like the Northwest!!
"{'author': {}, 'comments': ['Words of wisdom', 'Love this💕'], 'id': '10b4eb2d6331482bd6879f8f9ee4ed61', 'post': ['A father said to his daughter “You graduated with honors, here is a car I acquired many years ago. It is several years old. But before I give it to you, take it to the used car lot downtown and tell them I want to sell it and see how much they offer you. The daughter went to the used car lot, returned to her father and said, “They offered me $1,000 because it looks very worn out.” The father said,”Take him to the pawn shop.” The daughter went to the pawn shop, returned to her... father and said,”The pawn shop offered $100 because it was a very old car.” The father asked his daughter to go to a car club and show them the car. The daughter took the car to the club, returned and told her father,” Some people in the club offered $100,000 for it since it’s a Nissan Skyline R34, an iconic car and sought out after by many.” The father said to his daughter,”The right place values you the right way,” If you are not valued, do not be angry, it means you are in the wrong place. Those who know your value are those who appreciate you. Never stay in a place where no one sees your value. See More']}","A father said to his daughter “You graduated with honors, here is a car I acquired many years ago. It is several years old. But before I give it to you, take it to the used car lot downtown and tell them I want to sell it and see how much they offer you. The daughter went to the used car lot, returned to her father and said, “They offered me $1,000 because it looks very worn out.” The father said,”Take him to the pawn shop.” The daughter went to the pawn shop, returned to her... father and said,”The pawn shop offered $100 because it was a very old car.” The father asked his daughter to go to a car club and show them the car. The daughter took the car to the club, returned and told her father,” Some people in the club offered $100,000 for it since it’s a Nissan Skyline R34, an iconic car and sought out after by many.” The father said to his daughter,”The right place values you the right way,” If you are not valued, do not be angry, it means you are in the wrong place. Those who know your value are those who appreciate you. Never stay in a place where no one sees your value. See More",Words of wisdom Love this💕
"{'author': {}, 'comments': ['Jim Farmer', 'We love our Tatung😍 Enjoy!!', 'We still have ours!!!!!'], 'id': '9c4749c0189ed5336d2808d678b5d21c', 'post': ['Replacing our 29 year old National rice cooker with a stainless steel Tatung. The National will go in the RV. It deserves a rest']}",Replacing our 29 year old National rice cooker with a stainless steel Tatung. The National will go in the RV. It deserves a rest,Jim Farmer We love our Tatung😍 Enjoy!! We still have ours!!!!!
"{'author': {}, 'comments': ['Hash browns, biscuit, sausage gravy with an egg on top. Added Tabasco and Marionberry jam on top as an shout out to my dear old dad Leland Golden Farmer. Links on the side.', 'Um, where’s the bacon?', 'looks very tasty', ""Was that at Mr. T's?""], 'id': '0b93473743f92079549a7760c72e45a6', 'post': ['The perfect breakfast']}",The perfect breakfast,"Hash browns, biscuit, sausage gravy with an egg on top. Added Tabasco and Marionberry jam on top as an shout out to my dear old dad Leland Golden Farmer. Links on the side. Um, where’s the bacon? looks very tasty Was that at Mr. T's?"
"{'author': {}, 'comments': ['wat'], 'id': '611c59af56268df5534fef5bc3c37b1d', 'post': [""Special shoutout to the artist formerly known as Eastern Oklahoma. It's been swell.""]}",Special shoutout to the artist formerly known as Eastern Oklahoma. It's been swell.,wat
"{'author': {}, 'comments': ['Felicidades Que Dios bendiga tu Matrimonio querida Adriana Perezchica', 'Simplemente Hermosa muchas felicidades princesa 👸🏻 que reine siempre el amor en sus vidas y que Dios sea el centro de sus ❤️❤️que los una con amor Eterno 🙏🏼', 'Gracias Bella por tus deseos tan sinceros! Te quiero ❤️🤗😘', 'Mil gracias Bella por tus deseo tan sinceros! Te quiero ❤️😘🥰'], 'id': '49da86321d3035890aa0ce44bfce8d41', 'post': ['“Where there is love there is life” Our wedding pictures can say more that I can ever put into words. Hand in hand, heart to heart, on this day our adventure starts!  We had a beautiful wedding surrounded with our loved ones. Just the way we envisioned. Thank you all for making it perfect. ❤️❤️ “El amor es la fuerza más humilde, pero la más poderosa de que dispone el mundo”... Una fotografía puede decir más de lo que yo podría expresar. Gracias a todos por hacer de ese día perfecto. Los amo ❤️❤️ See MoreSee Translation']}","“Where there is love there is life” Our wedding pictures can say more that I can ever put into words. Hand in hand, heart to heart, on this day our adventure starts!  We had a beautiful wedding surrounded with our loved ones. Just the way we envisioned. Thank you all for making it perfect. ❤️❤️ “El amor es la fuerza más humilde, pero la más poderosa de que dispone el mundo”... Una fotografía puede decir más de lo que yo podría expresar. Gracias a todos por hacer de ese día perfecto. Los amo ❤️❤️ See MoreSee Translation",Felicidades Que Dios bendiga tu Matrimonio querida Adriana Perezchica Simplemente Hermosa muchas felicidades princesa 👸🏻 que reine siempre el amor en sus vidas y que Dios sea el centro de sus ❤️❤️que los una con amor Eterno 🙏🏼 Gracias Bella por tus deseos tan sinceros! Te quiero ❤️🤗😘 Mil gracias Bella por tus deseo tan sinceros! Te quiero ❤️😘🥰
"{'author': {}, 'comments': ['are you sneezing or choking yourself', 'why does your drink look so large', 'u cute I guess 🧐'], 'id': '5dcb2465d37d27726b0f72ebcb4bf7a5', 'post': ['pc Vivian Sun']}",pc Vivian Sun,are you sneezing or choking yourself why does your drink look so large u cute I guess 🧐
"{'author': {}, 'comments': ['ill miss u so much next year 😭💞💞 ty for being OUR role model + mastermind neuron', 'ily best brain cell <3 <3 ur gonna do great next year i kno it', 'omggg, congrats!! Coach MWu + Interlake Power op', 'Wowow !!!'], 'id': 'd8212b53fbca67b2e17753d8876d54af', 'post': [""congrats to Zitao on being 4th seed/second speaker/quarterfinalist at State and Emily on top seed/top speaker/semifinalist!! beyond proud of u both and how hard you've worked over the years to be the role models u are today 💖💖 (also, Interlake won 1st in sweeps and had teams in quarters of pf and policy as well!) pc Anthony""]}","congrats to Zitao on being 4th seed/second speaker/quarterfinalist at State and Emily on top seed/top speaker/semifinalist!! beyond proud of u both and how hard you've worked over the years to be the role models u are today 💖💖 (also, Interlake won 1st in sweeps and had teams in quarters of pf and policy as well!) pc Anthony","ill miss u so much next year 😭💞💞 ty for being OUR role model + mastermind neuron ily best brain cell <3 <3 ur gonna do great next year i kno it omggg, congrats!! Coach MWu + Interlake Power op Wowow !!!"
"{'author': {}, 'comments': ['Abhi Rao shave', 'small moment of silence for the spider', 'in which we learn michael has been paying less than zero attention to zoom for the past two weeks 👀'], 'id': '13679912ae47d45f9e33006c3f538614', 'post': ['will miss them a ton:,))']}","will miss them a ton:,))",Abhi Rao shave small moment of silence for the spider in which we learn michael has been paying less than zero attention to zoom for the past two weeks 👀
"{'author': {}, 'comments': ['Fav post of the day'], 'id': '0e4123fa72aee42f0404cd95774b8fc9', 'post': ['Thank you to Melissa Chau for sharing - let’s not be afraid to start the conversation at home. Edit: Here’s an extra link on how -  https://everydayfeminism.com/…/asian-americans-tackle-ant…/…']}",Thank you to Melissa Chau for sharing - let’s not be afraid to start the conversation at home. Edit: Here’s an extra link on how -  https://everydayfeminism.com/…/asian-americans-tackle-ant…/…,Fav post of the day
"{'author': {}, 'comments': [""Hi Phoebe Kuo! The link didn't work for some reason. Can you resend it?"", 'Hope you are doing well and would love to reconnect too!', '""Beyond simple divestment and rejection of our own trope, we must also actively combat anti-blackness — especially within the Asian community. [....] Let us name those things, not only when we witness them, but when we do them, because we all have a lo…See More', ""Hey Phoebe! I'd love to catch up sometime! My forays into critical studies have continued and branched out in large part due to the guidance that people like you and Elijah Smith provided throughout my debate career.""], 'id': '34790c7dc407ca2586080f9dd336fe52', 'post': ['Prabal Gurung hits the nail on the head. What is conscientization without action? Where those MMM debaters at? Where the Asians in db8? Current and Former. This is not a call-out post. This is a ""let\'s (re)connect"" and ""How can I support you?"" post.  Jenna Jung Paul Zhou Annie Wang Nicolas Kim Shannon Lee Howard Wang Arjun Chopra Megan Wu Elaine Huang John Choi Sachin Shah William Cheung Joanne ParkMegha Prasad David Moon Pacy Yan Wesley Hu Vijay FischJason Lan Akif Choudhury...Emily Shang Mina Lee James Min Kevin Li Christian Han Ishan BhattShruthi Krishnan Andee Song Richie Ma Michelle Li Victor Wu  https://www.washingtonpost.com/…/prabal-gurung-its-time-as…/ See More']}","Prabal Gurung hits the nail on the head. What is conscientization without action? Where those MMM debaters at? Where the Asians in db8? Current and Former. This is not a call-out post. This is a ""let's (re)connect"" and ""How can I support you?"" post.  Jenna Jung Paul Zhou Annie Wang Nicolas Kim Shannon Lee Howard Wang Arjun Chopra Megan Wu Elaine Huang John Choi Sachin Shah William Cheung Joanne ParkMegha Prasad David Moon Pacy Yan Wesley Hu Vijay FischJason Lan Akif Choudhury...Emily Shang Mina Lee James Min Kevin Li Christian Han Ishan BhattShruthi Krishnan Andee Song Richie Ma Michelle Li Victor Wu  https://www.washingtonpost.com/…/prabal-gurung-its-time-as…/ See More","Hi Phoebe Kuo! The link didn't work for some reason. Can you resend it? Hope you are doing well and would love to reconnect too! ""Beyond simple divestment and rejection of our own trope, we must also actively combat anti-blackness — especially within the Asian community. [....] Let us name those things, not only when we witness them, but when we do them, because we all have a lo…See More Hey Phoebe! I'd love to catch up sometime! My forays into critical studies have continued and branched out in large part due to the guidance that people like you and Elijah Smith provided throughout my debate career."
"{'author': {}, 'comments': ['—ilake mw'], 'id': '5be3c6ff7b6b675e9bf5a5a0940525a5', 'post': ['Plan grounds the RSAF!']}",Plan grounds the RSAF!,—ilake mw
"{'author': {}, 'comments': ['Thank you!!!! ❤️❤️❤️', 'YES do it!! With your art skills that would be *chefs kiss*'], 'id': '5314910134d5f1e55015b7f99e5c39bb', 'post': ['Some of my favorites from Megan’s poetry book!  Read more at tinyurl.com/poemsbymegan']}",Some of my favorites from Megan’s poetry book!  Read more at tinyurl.com/poemsbymegan,Thank you!!!! ❤️❤️❤️ YES do it!! With your art skills that would be *chefs kiss*
"{'author': {}, 'comments': ['Perry I think I found the answer to Joyce 😳', 'Arun Joyce true arg though', 'this is actually sick', 'whoa this is so cool!!'], 'id': '04f08255a4686da7efd471d8454a2974', 'post': ['hi! as many of you know, I spent senior year (and will spend this upcoming summer) as an intern for prof. Colin Marshall at the UW. During my time there, our primary project was preparing the book he was editing on comparative metaethics for publication. I had the chance to proofread/copy edit the volume and hear the contributors present their work at a conference we hosted in Seattle. It’s a fascinating survey of philosophical traditions from around the world and how they challenge & disrupt western metaethical frameworks, and if you would like to check it out, you can access the ebook for free for the next seven days! ']}","hi! as many of you know, I spent senior year (and will spend this upcoming summer) as an intern for prof. Colin Marshall at the UW. During my time there, our primary project was preparing the book he was editing on comparative metaethics for publication. I had the chance to proofread/copy edit the volume and hear the contributors present their work at a conference we hosted in Seattle. It’s a fascinating survey of philosophical traditions from around the world and how they challenge & disrupt western metaethical frameworks, and if you would like to check it out, you can access the ebook for free for the next seven days! ",Perry I think I found the answer to Joyce 😳 Arun Joyce true arg though this is actually sick whoa this is so cool!!
"{'author': {}, 'comments': ['Couldn’t escape Megxn tho... how u even pronounce that?', 'Scopa it’s mÆgxn', 'GORGEOUS QUEEN INVENTED FLOWERS'], 'id': '8307188bec6ec45eaed5cc533166ae9e', 'post': ['thankful for my mom’s unconditional support and decision not to name me X Æ A-12 🥰']}",thankful for my mom’s unconditional support and decision not to name me X Æ A-12 🥰,Couldn’t escape Megxn tho... how u even pronounce that? Scopa it’s mÆgxn GORGEOUS QUEEN INVENTED FLOWERS
"{'author': {}, 'comments': [""congrats on a great career nate! i'll miss u next year, though i'm certain Wake Forest _K will be popping off on the ndt circuit -- never forget to text me sweetie pie at 1am!"", 'Proud of you Nate ❤️ reading this post made so happy...', 'going to miss our tar on the bus 😢😢', ""Congrats on an amazing career Nate! You're gonna kill it at Wake!""], 'id': '573a6cdc3166d12bfcd1ae2e75a0b7a7', 'post': [""debate post below! non-debate people please ignore lol tldr; i did debate, i'm happy i did, i met some nice people I spent a lot of time thinking about how I’d write my goodbye debate post, and now that it’s finally time, I’ve got no idea where to start. I don’t want debate to be over. I love collapsing to shitty independent voters and that one Schaefer card that everyone always concedes. I love compiling docs and exempting voters on a shell because after three years I’ve mem...Continue Reading""]}","debate post below! non-debate people please ignore lol tldr; i did debate, i'm happy i did, i met some nice people I spent a lot of time thinking about how I’d write my goodbye debate post, and now that it’s finally time, I’ve got no idea where to start. I don’t want debate to be over. I love collapsing to shitty independent voters and that one Schaefer card that everyone always concedes. I love compiling docs and exempting voters on a shell because after three years I’ve mem...Continue Reading","congrats on a great career nate! i'll miss u next year, though i'm certain Wake Forest _K will be popping off on the ndt circuit -- never forget to text me sweetie pie at 1am! Proud of you Nate ❤️ reading this post made so happy... going to miss our tar on the bus 😢😢 Congrats on an amazing career Nate! You're gonna kill it at Wake!"
"{'author': {}, 'comments': ['ping ping ping ping ping. <3', 'Hahhaa. Aww thanks connie! Best of luck in everything!', 'Heh thanks connie :D 4th period was epic truuu LMAO hope u have fun w that college lyfe twas a litty time in SM', 'debate convo about cap? you mean when you woke me up early in the morning with a random call about meme origins?'], 'id': '9c928a969caf03c54b89a9eb31425079', 'post': ['🧹🧹 WOAH WOAH WOAH! I didn’t see you there! 😳I’m just here making routine Spring cleaning trips around the feed... don’t mind me... 🧹🧹 Just kidding this is a debate post. Please mind this. Except if you’re not in debate I guess 😚 I genuinely can’t believe I’m writing this post. I know this is super corny and lame, yada yada yada, but jo egged me to write one and I thought, “Yeah. I probably should.” And I KNOW I’ve been totally out of commission in my senior year, but there ha...Continue Reading']}","🧹🧹 WOAH WOAH WOAH! I didn’t see you there! 😳I’m just here making routine Spring cleaning trips around the feed... don’t mind me... 🧹🧹 Just kidding this is a debate post. Please mind this. Except if you’re not in debate I guess 😚 I genuinely can’t believe I’m writing this post. I know this is super corny and lame, yada yada yada, but jo egged me to write one and I thought, “Yeah. I probably should.” And I KNOW I’ve been totally out of commission in my senior year, but there ha...Continue Reading",ping ping ping ping ping. <3 Hahhaa. Aww thanks connie! Best of luck in everything! Heh thanks connie :D 4th period was epic truuu LMAO hope u have fun w that college lyfe twas a litty time in SM debate convo about cap? you mean when you woke me up early in the morning with a random call about meme origins?
"{'author': {}, 'comments': ['there should be an mlk picture sound', '""Is Joe Biden sponge-worthy?"" 😄 Enjoying the annotations, thank you.'], 'id': '02a79f9be4791b326fed37f42c8cbfe9', 'post': ['Live-Annotate the DNC with Black Rose! DAY 3 Powered by Restream https://restream.io/']}",Live-Annotate the DNC with Black Rose! DAY 3 Powered by Restream https://restream.io/,"there should be an mlk picture sound ""Is Joe Biden sponge-worthy?"" 😄 Enjoying the annotations, thank you."
"{'author': {}, 'comments': ['link pls', 'Honestly, I’m so happy famous folk are endorsing esports. I’ve been watching since around 2011 various esports and I’m so glad it’s finally being legitimized so these players can make money.'], 'id': '8f62703c6cb0043eb9441c25bb2b26b6', 'post': ['did not have pusha and drake getting involved in esports beef on my 2020 bingo card']}",did not have pusha and drake getting involved in esports beef on my 2020 bingo card,"link pls Honestly, I’m so happy famous folk are endorsing esports. I’ve been watching since around 2011 various esports and I’m so glad it’s finally being legitimized so these players can make money."
"{'author': {}, 'comments': ['thanks chemay!', 'thank u li!!!', 'THANK YOU!!!!', 'thanks ye ju!!!', 'thank u bryannnn'], 'id': '4d03c567a595ef8a258a54380c36e126', 'post': ['Happy Birthday!', 'happy birthday akhil!', 'HAPPY BIRTHDAYYYYY🎉🎉🎉🎂🎉', 'happy birthday!!!!!', 'Happy Birthday Akhil!!!!']}",Happy Birthday! happy birthday akhil! HAPPY BIRTHDAYYYYY🎉🎉🎉🎂🎉 happy birthday!!!!! Happy Birthday Akhil!!!!,thanks chemay! thank u li!!! THANK YOU!!!! thanks ye ju!!! thank u bryannnn
"{'author': {}, 'comments': ['thanks chemay!'], 'id': '9ebbcdb9d07272de55168c9be6b95596', 'post': ['Happy Birthday!']}",Happy Birthday!,thanks chemay!
"{'author': {}, 'comments': ['thank u li!!!'], 'id': '286d5ccbdcf18bcd305b76fd97e9fdf4', 'post': ['happy birthday akhil!']}",happy birthday akhil!,thank u li!!!
"{'author': {}, 'comments': ['THANK YOU!!!!'], 'id': '7f0f836c028d9ecd04498529a022f136', 'post': ['HAPPY BIRTHDAYYYYY🎉🎉🎉🎂🎉']}",HAPPY BIRTHDAYYYYY🎉🎉🎉🎂🎉,THANK YOU!!!!
"{'author': {}, 'comments': ['thanks ye ju!!!'], 'id': '4897aa17a751aa7a97d410d09bf3e89a', 'post': ['happy birthday!!!!!']}",happy birthday!!!!!,thanks ye ju!!!
"{'author': {}, 'comments': ['thank u bryannnn'], 'id': '7c13fdc4668b66e44e94c7e2f8270f9f', 'post': ['Happy Birthday Akhil!!!!']}",Happy Birthday Akhil!!!!,thank u bryannnn
"{'author': {}, 'comments': ['Lovely pics Sachi'], 'id': 'e827fd2180ea7fb54b20259afde9580a', 'post': ['graduation + grad parties!']}",graduation + grad parties!,Lovely pics Sachi
"{'author': {}, 'comments': ['scopa approx. 24 hours ago: give me phil topic or give me death', 'Yo wtf happened to fb'], 'id': '1b5bd33a09c61017172f2354b74f2f5b', 'post': ['I think it’s only fair I (and others who normally *correctly* complain about the topic) compliment the topic committee for this one. Nice work, we have a good topic 🙃']}","I think it’s only fair I (and others who normally *correctly* complain about the topic) compliment the topic committee for this one. Nice work, we have a good topic 🙃",scopa approx. 24 hours ago: give me phil topic or give me death Yo wtf happened to fb
"{'author': {}, 'comments': [""I can't believe my baby is graduating T.T You make me so so proud <3"", ""congrats on a great career meghana! i'm super glad i got to know you, even if some falsehoods about my word blitz skill have been spread. looking forwards to that krunker rematch, anti-gamer propagandist!!"", 'lhp heg forever thx for all the mems!!', 'Congrats Meghana! Thank you so much for all the help you\'ve given me these past two years I\'m sorry for making the rounds hard but at least you helped defend the justice of fairness first and calculative regress - btw i\'m p sure u were ""lake highland MSr"" at like half the tournaments'], 'id': '95aeb68cb8e05733c9db3b5b8bc82b2d', 'post': ['[this is a debate post, so non debate people can ignore]  Sorry if this post is too long and if I didn’t tag you. There are so many people that have influenced me in debate that there are probably some people I forgot to thank, but everyone I have interacted with has made it an amazing experience. Debate is a great activity but what has made it so memorable for me are the friends I’ve made, and I really am grateful for all of them.  𝗙𝗿𝗶𝗲𝗻𝗱𝘀:...Continue Reading']}","[this is a debate post, so non debate people can ignore]  Sorry if this post is too long and if I didn’t tag you. There are so many people that have influenced me in debate that there are probably some people I forgot to thank, but everyone I have interacted with has made it an amazing experience. Debate is a great activity but what has made it so memorable for me are the friends I’ve made, and I really am grateful for all of them.  𝗙𝗿𝗶𝗲𝗻𝗱𝘀:...Continue Reading","I can't believe my baby is graduating T.T You make me so so proud <3 congrats on a great career meghana! i'm super glad i got to know you, even if some falsehoods about my word blitz skill have been spread. looking forwards to that krunker rematch, anti-gamer propagandist!! lhp heg forever thx for all the mems!! Congrats Meghana! Thank you so much for all the help you've given me these past two years I'm sorry for making the rounds hard but at least you helped defend the justice of fairness first and calculative regress - btw i'm p sure u were ""lake highland MSr"" at like half the tournaments"
"{'author': {}, 'comments': [""Congrats on semis and an awesome career Perry! Wish you were in finals (no offense Evan :p) so we could've had an AC NC debate for the ages (Yale semis pt.2) <3 Looking forward to teaching with you at camp :)"", 'Rip my dream :(', 'My dude, you were the best bird theory debater in LD. You’ve had a great career and should be so proud of everything you’ve accomplished.', 'Congrats on a fire career and thanks for the discord Warren sux lecture'], 'id': '1b22716451911b732a7b7cb17c46fdae', 'post': ['TLDR: I did debate, it was fun. I [unsuccessfully] tried to keep this post as short as possible, because if I honestly dont think I would ever finish listing all the people who helped make debate a meaningful and fun experience. Coaches:...Continue Reading']}","TLDR: I did debate, it was fun. I [unsuccessfully] tried to keep this post as short as possible, because if I honestly dont think I would ever finish listing all the people who helped make debate a meaningful and fun experience. Coaches:...Continue Reading","Congrats on semis and an awesome career Perry! Wish you were in finals (no offense Evan :p) so we could've had an AC NC debate for the ages (Yale semis pt.2) <3 Looking forward to teaching with you at camp :) Rip my dream :( My dude, you were the best bird theory debater in LD. You’ve had a great career and should be so proud of everything you’ve accomplished. Congrats on a fire career and thanks for the discord Warren sux lecture"
"{'author': {}, 'comments': [""So so proud of you Annie, you're so kind and thoughtful. No matter where you go in life these qualities will always shine. Congratulations!"", 'we can meet in the middle of the states with Benjamin Koh', ""i will never stop hating on yellow people, but congrats on a great career!! ur gonna do big things and i'll bring a laundromat for pillsbury the next time we judge together!""], 'id': '0844e404eed50773e84d38057bba50f3', 'post': [""To be honest, I've thought about my end of debate post a lot… especially the past few weeks. Writing it was really difficult, how can I encompass 4 years and endless weekends in one fb post? Debate’s been quite the journey. Freshman yr I almost quit because of negative records and lay debate. Sophmore yr I resorted to nail bomb affs and kant, no one knew this, but I really didn’t like K debate then. Then due to camp, in junior yr I started reading performance, and read the sa...Continue Reading""]}","To be honest, I've thought about my end of debate post a lot… especially the past few weeks. Writing it was really difficult, how can I encompass 4 years and endless weekends in one fb post? Debate’s been quite the journey. Freshman yr I almost quit because of negative records and lay debate. Sophmore yr I resorted to nail bomb affs and kant, no one knew this, but I really didn’t like K debate then. Then due to camp, in junior yr I started reading performance, and read the sa...Continue Reading","So so proud of you Annie, you're so kind and thoughtful. No matter where you go in life these qualities will always shine. Congratulations! we can meet in the middle of the states with Benjamin Koh i will never stop hating on yellow people, but congrats on a great career!! ur gonna do big things and i'll bring a laundromat for pillsbury the next time we judge together!"
"{'author': {}, 'comments': ['Congrats John ur a beast and I know ur gonna kill it whatever u do next!', 'Samantha  If someone sold me a house like Tarun gives Niemi 2ARs id be 800K deep in a mortage rn', 'Congrats on an amazing career John! 🥳'], 'id': 'd51159d93a2d312907ca25a99f8a9b09', 'post': ['Long debate post, just a warning. Well, the TOC is online and my time in debate is over, so now seems like a good time to post this reflection.  Debate is a good activity, and one that I will be forever grateful for. And at the end of it all, it’s really the people that have kept me in, even when I was on the verge of quitting (multiple times), these people (and those not here as well) always helped me through it. I definitely forgot people I am grateful for, but if we ever h...Continue Reading']}","Long debate post, just a warning. Well, the TOC is online and my time in debate is over, so now seems like a good time to post this reflection.  Debate is a good activity, and one that I will be forever grateful for. And at the end of it all, it’s really the people that have kept me in, even when I was on the verge of quitting (multiple times), these people (and those not here as well) always helped me through it. I definitely forgot people I am grateful for, but if we ever h...Continue Reading",Congrats John ur a beast and I know ur gonna kill it whatever u do next! Samantha  If someone sold me a house like Tarun gives Niemi 2ARs id be 800K deep in a mortage rn Congrats on an amazing career John! 🥳
"{'author': {}, 'comments': ['so pretty! congrats!!❤️❤️', 'congrats bae!', 'YAY CONGRATS!!', 'mega late but congrats!'], 'id': '636f5094fcc47c99799dd55d227c871d', 'post': ['Yesterday didn’t feel like graduation but I guess I graduated 😢🥳🤩 CC: Lisa Lin Jason Lan Elizabeth Lee Sophia Zhang Amanda Huang']}",Yesterday didn’t feel like graduation but I guess I graduated 😢🥳🤩 CC: Lisa Lin Jason Lan Elizabeth Lee Sophia Zhang Amanda Huang,so pretty! congrats!!❤️❤️ congrats bae! YAY CONGRATS!! mega late but congrats!
"{'author': {}, 'comments': [""Obama's speech tonight said it all and when I compared it to the nasty press conference Trump held today it reminded me what a truly great man is like."", 'I’m with the “don’t be a dick” political party. So, let’s all not be monster dicks.', 'Yes they have totally manipulated our young .strting in kindergarten all the way through College .....Its Horrible and our School system needs to be totally revamped .Including most of the Teachers and Professors!'], 'id': 'e104b52368598bb7ad4ce5447b570a08', 'post': ['Wow!  A Must Read.  What an amazing young perspective and to be one that has a common sense understanding of what I keep trying to convey to the left base about the dangerous direction of their party and the fact that the politicians are using the youth for their political control and power through indoctrinating the young into the lies and  belief thru liberal professors that push this narrative without giving equal balance of both parties base positions.  We are at a pivota...Continue Reading']}",Wow!  A Must Read.  What an amazing young perspective and to be one that has a common sense understanding of what I keep trying to convey to the left base about the dangerous direction of their party and the fact that the politicians are using the youth for their political control and power through indoctrinating the young into the lies and  belief thru liberal professors that push this narrative without giving equal balance of both parties base positions.  We are at a pivota...Continue Reading,"Obama's speech tonight said it all and when I compared it to the nasty press conference Trump held today it reminded me what a truly great man is like. I’m with the “don’t be a dick” political party. So, let’s all not be monster dicks. Yes they have totally manipulated our young .strting in kindergarten all the way through College .....Its Horrible and our School system needs to be totally revamped .Including most of the Teachers and Professors!"
"{'author': {}, 'comments': ['Also, Native Americans were legally barred from voting in New Mexico until 1962.'], 'id': 'eced2b0103cb61999a59911213e301cd', 'post': ['No matter when they received the ""Right to Vote"", most people of color, no matter their ethnicity, did not have the access to vote, until the 1964 Civil Rights Act was passed and the 1965 Voting Rights Act was passed.']}","No matter when they received the ""Right to Vote"", most people of color, no matter their ethnicity, did not have the access to vote, until the 1964 Civil Rights Act was passed and the 1965 Voting Rights Act was passed.","Also, Native Americans were legally barred from voting in New Mexico until 1962."
