Headword,Related word forms,SFI,U,D   
precipitate,"precipitated, precipitates, precipitating",50.42,11,0.5078
precipitation,,50.865,12,0.8163
predator,predators,52.749,19,0.7087
prediction,predictions,58.96,79,0.8132
predominantly,,54.591,29,0.8983
prejudice,"prejudiced, prejudices, prejudicing",51.8,15,0.7257
preliminary,preliminaries,56.779,48,0.8812
presume,"presumed, presumes, presuming",53.406,22,0.9196
prevalence,,59.103,81,0.6882
prey,"preyed, preying, preys",52.389,17,0.8427
primer,primers,54.348,27,0.6952
primitive,primitives,55.994,40,0.9364
probe,"probed, probes, probing",57.391,55,0.848
problematic,,56.034,40,0.8827
processor,processors,51.123,13,0.7037
productive,,55.682,37,0.8951
productivity,,56.319,43,0.784
profound,,53.723,24,0.9517
progression,progressions,54.61,29,0.8002
progressive,,56.413,44,0.8819
projection,projections,58.258,67,0.8299
prominent,,56.743,47,0.9076
pronounce,"pronounced, pronounces, pronouncing",54.951,31,0.9357
proposition,"propositioned, propositioning, propositions",59.126,82,0.7118
protocol,protocols,56.421,44,0.8911
proton,protons,53.672,23,0.6647
psychiatric,psychiatrics,56.65,46,0.6415
psychologist,psychologists,52.95,20,0.524
psychology,psychologies,57.534,57,0.4573
publish,"published, publishes, publishing",62.897,195,0.9039
pulse,"pulsed, pulses, pulsing",59.014,80,0.7764
punch,"punched, punches, punching",45.325,3,0.8684
punish,"punished, punishes, punishing",51.174,13,0.8473
punishment,punishments,54.498,28,0.7758
purely,,56.067,40,0.9426
puzzle,"puzzled, puzzles, puzzling",53.621,23,0.9775
qualitative,,56.538,45,0.8642
quantitative,,58.011,63,0.8616
quantum,,54.436,28,0.7487
questionnaire,questionnaires,56.55,45,0.7999
quiz,"quizzed, quizzes, quizzing",47.681,6,0.8021
quotation,quotations,53.914,25,0.453
rack,"racked, racking, racks",42.423,2,0.2702
radar,radars,45.872,4,0.554
radiation,,57.725,59,0.7802
radius,radii,56.236,42,0.4862
rainfall,,53.988,25,0.7648
randomize,"randomise, randomised, randomises, randomising, randomized, randomizes, randomizing",55.884,39,0.7047
randomly,,54.956,31,0.7764
rational,,58.661,73,0.8361
rationality,,53.385,22,0.8121
ray,rays,54.371,27,0.7117
reactive,,52.33,17,0.8825
reactor,reactors,46.161,4,0.6918
readily,,56.553,45,0.9114
realism,,52.282,17,0.7199
realistic,,53.836,24,0.8851
realm,realms,54.899,31,0.8641
receptor,receptors,61.36,137,0.5813
recipe,recipes,46.646,5,0.7547
reconstruct,"reconstructed, reconstructing, reconstructs",54.215,26,0.9161
regime,regimes,60.528,113,0.8192
regression,,59.918,98,0.4909
rehabilitation,,52.856,19,0.7923
reinforce,"reinforced, reinforces, reinforcing",56.494,45,0.8678
rejection,rejections,55.563,36,0.8841
reliability,,55.75,38,0.8932
render,"rendered, rendering, renders",56.724,47,0.7904
repertoire,repertoires,72.452,1759,0.5923
replacement,replacements,55.554,36,0.8435
replicate,"replicated, replicates, replicating",56.085,41,0.7752
replication,replications,54.871,31,0.6611
reproduce,"reproduced, reproduces, reproducing",56.302,43,0.9223
reproduction,reproductions,55.716,37,0.7821
republic,republics,51.139,13,0.7138
resemble,"resembled, resembles, resembling",55.63,37,0.885
reservoir,reservoirs,51.49,14,0.7865
residual,residuals,56.798,48,0.7373
residue,residues,56.279,42,0.5943
resistant,,54.502,28,0.7806
respiratory,,53.617,23,0.4175
retrieve,"retrieved, retrieves, retrieving",53.413,22,0.924
revolutionary,revolutionaries,54.203,26,0.7307
rewrite,"rewrites, rewriting, rewritten, rewrote",55.265,34,0.9191
rhetoric,,54.488,28,0.7555
rhythm,rhythms,55.118,32,0.8657
ridiculous,,44.415,3,0.7216
ritual,rituals,56.577,45,0.7428
robot,robots,60.055,101,0.6448
rope,"roped, ropes, roping",47.082,5,0.5624
rotate,"rotated, rotates, rotating",53.812,24,0.6495
rotation,rotations,57.191,52,0.6532
rub,"rubbed, rubbing, rubbings, rubs",45.945,4,0.8953
ruler,rulers,53.831,24,0.679
scatter,"scattered, scattering, scatterings, scatters",56.047,40,0.7371
scenario,scenarios,57.103,51,0.9494
scholarship,scholarships,54.601,29,0.8106
scripture,scriptures,45.819,4,0.479
scroll,"scrolled, scrolling, scrolls",43.465,2,0.6697
secrete,"secreted, secretes, secreting",51.868,15,0.4664
sediment,"sedimented, sedimenting, sediments",54.403,28,0.6311
selective,,56.637,46,0.7322
semantic,semantics,62.38,173,0.699
semester,semesters,46.324,4,0.8668
semi,,44.497,3,0.9148
seminar,seminars,50.37,11,0.6727
sensation,sensations,52.51,18,0.7831
sensible,,50.508,11,0.8846
sensitivity,sensitivities,59.471,89,0.7936
sensory,,55.852,38,0.6045
separately,,55.903,39,0.9533
separation,separations,57.743,59,0.8895
sexuality,sexualities,53.225,21,0.9059
shallow,"shallower, shallowest, shallows",52.691,19,0.8842
shortly,,53.155,21,0.9536
shuttle,"shuttled, shuttles, shuttling",43.767,2,0.6116
similarity,similarities,59.459,88,0.908
simplify,"simplified, simplifies, simplifying",56.255,42,0.928
simulate,"simulated, simulates, simulating",56.493,45,0.8666
simulation,simulations,60.642,116,0.723
simultaneously,,57.234,53,0.8856
sin,"sinned, sinning, sins",58.585,72,0.4986
singular,,56.917,49,0.743
sketch,"sketched, sketches, sketching",55.193,33,0.8131
skip,"skipped, skipping, skips",47.907,6,0.8904
slab,slabs,49.101,8,0.7437
slash,"slashed, slashes, slashing",44.465,3,0.7901
slavery,,53.344,22,0.5699
slot,"slots, slotted, slotting",50.941,12,0.9548
snake,"snaked, snakes, snaking",49.471,9,0.7712
sneeze,"sneezed, sneezes, sneezing",40.815,1,0.8074
sniff,"sniffed, sniffing, sniffs",40.694,1,0.5553
socialize,"socialise, socialised, socialises, socialising, socialized, socializes, socializing",47.163,5,0.5325
socially,,54.632,29,0.8045
sodium,,54.597,29,0.785
solar,,52.604,18,0.338
soluble,solubles,51.627,15,0.6279
solute,solutes,48.377,7,0.6049
solvent,solvents,49.177,8,0.6174
sometime,,46.791,5,0.9026
sophisticate,"sophisticated, sophisticates",54.672,29,0.9514
span,"spanned, spanning, spans",56.893,49,0.9247
spatial,,60.886,123,0.9265
specialty,"specialities, speciality, specialties",47.202,5,0.7667
specification,specifications,57.947,62,0.7823
specimen,specimens,56.813,48,0.918
spectrum,"spectra, spectrums",59.327,86,0.7745
sperm,sperms,58.012,63,0.5381
sphere,spheres,57.993,63,0.7324
splice,"spliced, splices, splicing",50.174,10,0.6478
sponsorship,sponsorships,43.286,2,0.2042
spontaneous,,55.759,38,0.9309
spray,"sprayed, spraying, sprays",48.819,8,0.7682
stabilize,"stabilise, stabilised, stabilises, stabilising, stabilized, stabilizes, stabilizing",53.738,24,0.8843
stack,"stacked, stacking, stacks",54.519,28,0.8698
stadium,stadiums,40.67,1,0.5831
stance,"stanced, stances, stancing",53.756,24,0.7683
standardize,"standardise, standardised, standardises, standardising, standardized, standardizes, standardizing",54.795,30,0.9332
static,statics,55.96,39,0.8396
statistical,,60,100,0.8734
statistically,,56.493,45,0.8655
statistics,,48.058,6,0.8586
stereotype,"stereotyped, stereotypes, stereotyping",53.371,22,0.7121
stimulus,stimuli,61.442,139,0.6749
straightforward,,55.931,39,0.9156
strand,"stranded, stranding, strands",55.015,32,0.6294
strategic,,55.243,33,0.8145
strictly,,56.653,46,0.9498
stripe,"striped, stripes, striping",49.188,8,0.9011
sub,"subbed, subbing, subs",50.634,12,0.8787
subjective,,55.573,36,0.8974
subset,subsets,59.149,82,0.7137
substitution,substitutions,58.144,65,0.8594
substrate,substrates,55.933,39,0.6316
subtle,"subtler, subtlest",54.148,26,0.9566
subtract,"subtracted, subtracting, subtracts",50.296,11,0.8419
sufficiently,,57.734,59,0.9132
suicide,suicides,56.197,42,0.7663
super,,49.916,10,0.9474
superior,superiors,56.934,49,0.8178
supposedly,,50.778,12,0.849
surgeon,surgeons,49.328,9,0.6627
surgical,,54.461,28,0.5849
surplus,surpluses,52.24,17,0.6613
susceptible,,54.112,26,0.8023
sustainable,sustainables,52.488,18,0.7717
swap,"swapped, swapping, swaps",46.674,5,0.6789
swell,"swelled, swelling, swells, swollen",50.746,12,0.6989
sword,swords,47.832,6,0.6093
syllable,"syllabled, syllables",58.821,76,0.6978
syllabus,"syllabi, syllabuses",46.543,5,0.5816
symbolic,,56.714,47,0.8553
syndrome,syndromes,58.505,71,0.5942
syntactic,syntactics,59.143,82,0.7046
syntax,,57.747,60,0.8531
synthesis,syntheses,58.258,67,0.6046
synthetic,,52.608,18,0.9031
systematic,,58.275,67,0.9032
tech,,42.591,2,0.8544
technically,,49.646,9,0.9307
temporal,,59.611,91,0.8431
tempt,"tempted, tempting, tempts",50.881,12,0.8315
tense,"tensed, tenses, tensing",56.531,45,0.6318
terminal,terminals,56.457,44,0.8095
terminology,terminologies,54.32,27,0.9573
terribly,,43.525,2,0.7742
textbook,textbooks,53.886,24,0.9504
theorem,theorems,61.319,135,0.564
theorist,theorists,54.58,29,0.8438
thereby,,57.75,60,0.8491
thermal,thermals,55.466,35,0.8211
thesis,theses,58.6,72,0.814
thickness,thicknesses,55.655,37,0.7007
thread,"threaded, threading, threads",52.077,16,0.8579
threshold,thresholds,58.516,71,0.8934
thumb,"thumbed, thumbing, thumbs",48.036,6,0.8984
tolerance,tolerances,55.447,35,0.7936
ton,tons,52.591,18,0.9478
toxic,,51.236,13,0.8106
tract,tracts,55.59,36,0.5586
traditionally,,54.283,27,0.8817
trait,traits,58.974,79,0.6899
trajectory,trajectories,58.416,69,0.7451
trans,,52.946,20,0.9121
transaction,transactions,56.757,47,0.6227
transcribe,"transcribed, transcribes, transcribing",52.012,16,0.7182
transcription,transcriptions,56.502,45,0.5803
transformation,transformations,60.981,125,0.8695
translation,translations,60.695,117,0.8673
transmission,transmissions,58.718,74,0.8186
transmit,"transmits, transmitted, transmitting",55.651,37,0.8736
transparency,transparencies,50.636,12,0.8791
transplant,"transplanted, transplanting, transplants",53.206,21,0.6095
trauma,traumas,53.505,22,0.6544
treaty,treaties,52.86,19,0.7117
tremendous,,49.486,9,0.9356
triangle,triangles,54.284,27,0.8107
tribe,tribes,51.989,16,0.826
tricky,"trickier, trickiest",43.896,2,0.807
trivial,,53.767,24,0.8554
tropical,,57.782,60,0.8469
tumor,"tumors, tumour, tumours",57.567,57,0.5756
turbulent,,54.437,28,0.654
tutor,"tutored, tutoring, tutors",49.932,10,0.7927
ultimate,,55.098,32,0.954
undergraduate,undergraduates,51.633,15,0.813
undermine,"undermined, undermines, undermining",55.052,32,0.8327
underneath,,46.213,4,0.7854
unemployed,,51.242,13,0.7764
unify,"unified, unifies, unifying",54.965,31,0.8489
unintelligible,,43.512,2,0.7767
unity,unities,56.65,46,0.8057
unstable,,56.275,42,0.8732
uplift,"uplifted, uplifting, uplifts",48.006,6,0.7132
upward,upwards,53.504,22,0.7658
urine,,51.297,13,0.426
usage,,56.996,50,0.8052
utility,utilities,57.696,59,0.7546
utilize,"utilise, utilised, utilises, utilising, utilized, utilizes, utilizing",56.699,47,0.9226
utterance,utterances,58.441,70,0.7525
vague,,51.407,14,0.9263
valid,,57.729,59,0.9334
validity,,57.181,52,0.9088
valve,"valved, valves",55.504,36,0.8606
variability,variabilities,57.431,55,0.8445
variance,variances,60.343,108,0.6696
variant,variants,57.888,61,0.8436
vector,vectors,61.431,139,0.5255
vegetation,,54.315,27,0.7881
vein,"veined, veining, veins",55.365,34,0.5648
velocity,velocities,61.636,146,0.5401
verbal,,57.644,58,0.8435
vertical,verticals,57.724,59,0.8186
viable,,53.435,22,0.7582
virtue,virtues,56.788,48,0.7631
vitamin,vitamins,52.428,17,0.4207
vocabulary,vocabularies,58.444,70,0.7244
volition,,44.333,3,0.4814
vowel,vowels,59.968,99,0.685
watershed,,47.662,6,0.5699
wavelength,wavelengths,54.94,31,0.556
weave,"weaved, weaves, weaving, wove, woven",50.467,11,0.7078
wheat,,55.29,34,0.8799
whereby,,53.717,24,0.9542
whichever,,45.489,4,0.8961
whoever,,45.733,4,0.8434
widespread,,56.802,48,0.907
wisdom,,52.306,17,0.8144
workshop,workshops,54.948,31,0.9045
yeast,,51.228,13,0.5551
